Intent,Example,Response
Greeting,Merhaba! (1),Merhaba! Diyabet ile ilgili ne ogrenmek istersiniz?
Greeting,Selamlar. (2),Selam! Diyabet hakkinda size nasil yardimci olabilirim?
Greeting,Gunaydin. (3),Gunaydin! Diyabet sorulariniz icin buradayim.
Greeting,Gunaydin. (4),Gunaydin! Diyabet sorulariniz icin buradayim.
Greeting,Gunaydin. (5),Gunaydin! Diyabet sorulariniz icin buradayim.
Greeting,Merhaba! (6),Merhaba! Diyabet ile ilgili ne ogrenmek istersiniz?
Greeting,Gunaydin. (7),Gunaydin! Diyabet sorulariniz icin buradayim.
Greeting,Gunaydin. (8),Gunaydin! Diyabet sorulariniz icin buradayim.
Greeting,Gunaydin. (9),Gunaydin! Diyabet sorulariniz icin buradayim.
Greeting,Merhaba! (10),Merhaba! Diyabet ile ilgili ne ogrenmek istersiniz?
Greeting,Selamlar. (11),Selam! Diyabet hakkinda size nasil yardimci olabilirim?
Greeting,Selamlar. (12),Selam! Diyabet hakkinda size nasil yardimci olabilirim?
Greeting,Selamlar. (13),Selam! Diyabet hakkinda size nasil yardimci olabilirim?
Greeting,Merhaba! (14),Merhaba! Diyabet ile ilgili ne ogrenmek istersiniz?
Greeting,Gunaydin. (15),Gunaydin! Diyabet sorulariniz icin buradayim.
Greeting,Gunaydin. (16),Gunaydin! Diyabet sorulariniz icin buradayim.
Greeting,Merhaba! (17),Merhaba! Diyabet ile ilgili ne ogrenmek istersiniz?
Greeting,Merhaba! (18),Merhaba! Diyabet ile ilgili ne ogrenmek istersiniz?
Greeting,Gunaydin. (19),Gunaydin! Diyabet sorulariniz icin buradayim.
Greeting,Selamlar. (20),Selam! Diyabet hakkinda size nasil yardimci olabilirim?
Greeting,Selamlar. (21),Selam! Diyabet hakkinda size nasil yardimci olabilirim?
Greeting,Gunaydin. (22),Gunaydin! Diyabet sorulariniz icin buradayim.
Greeting,Merhaba! (23),Merhaba! Diyabet ile ilgili ne ogrenmek istersiniz?
Greeting,Selamlar. (24),Selam! Diyabet hakkinda size nasil yardimci olabilirim?
Greeting,Selamlar. (25),Selam! Diyabet hakkinda size nasil yardimci olabilirim?
Greeting,Selamlar. (26),Selam! Diyabet hakkinda size nasil yardimci olabilirim?
Greeting,Gunaydin. (27),Gunaydin! Diyabet sorulariniz icin buradayim.
Greeting,Merhaba! (28),Merhaba! Diyabet ile ilgili ne ogrenmek istersiniz?
Greeting,Selamlar. (29),Selam! Diyabet hakkinda size nasil yardimci olabilirim?
Greeting,Selamlar. (30),Selam! Diyabet hakkinda size nasil yardimci olabilirim?
Greeting,Selamlar. (31),Selam! Diyabet hakkinda size nasil yardimci olabilirim?
Greeting,Gunaydin. (32),Gunaydin! Diyabet sorulariniz icin buradayim.
Greeting,Merhaba! (33),Merhaba! Diyabet ile ilgili ne ogrenmek istersiniz?
Greeting,Gunaydin. (34),Gunaydin! Diyabet sorulariniz icin buradayim.
Greeting,Merhaba! (35),Merhaba! Diyabet ile ilgili ne ogrenmek istersiniz?
Greeting,Gunaydin. (36),Gunaydin! Diyabet sorulariniz icin buradayim.
Greeting,Selamlar. (37),Selam! Diyabet hakkinda size nasil yardimci olabilirim?
Greeting,Gunaydin. (38),Gunaydin! Diyabet sorulariniz icin buradayim.
Greeting,Gunaydin. (39),Gunaydin! Diyabet sorulariniz icin buradayim.
Greeting,Merhaba! (40),Merhaba! Diyabet ile ilgili ne ogrenmek istersiniz?
Greeting,Gunaydin. (41),Gunaydin! Diyabet sorulariniz icin buradayim.
Greeting,Selamlar. (42),Selam! Diyabet hakkinda size nasil yardimci olabilirim?
Greeting,Merhaba! (43),Merhaba! Diyabet ile ilgili ne ogrenmek istersiniz?
Greeting,Selamlar. (44),Selam! Diyabet hakkinda size nasil yardimci olabilirim?
Greeting,Merhaba! (45),Merhaba! Diyabet ile ilgili ne ogrenmek istersiniz?
Greeting,Gunaydin. (46),Gunaydin! Diyabet sorulariniz icin buradayim.
Greeting,Selamlar. (47),Selam! Diyabet hakkinda size nasil yardimci olabilirim?
Greeting,Gunaydin. (48),Gunaydin! Diyabet sorulariniz icin buradayim.
Greeting,Merhaba! (49),Merhaba! Diyabet ile ilgili ne ogrenmek istersiniz?
Greeting,Selamlar. (50),Selam! Diyabet hakkinda size nasil yardimci olabilirim?
Greeting,Gunaydin. (51),Gunaydin! Diyabet sorulariniz icin buradayim.
Greeting,Selamlar. (52),Selam! Diyabet hakkinda size nasil yardimci olabilirim?
Greeting,Selamlar. (53),Selam! Diyabet hakkinda size nasil yardimci olabilirim?
Greeting,Merhaba! (54),Merhaba! Diyabet ile ilgili ne ogrenmek istersiniz?
Greeting,Gunaydin. (55),Gunaydin! Diyabet sorulariniz icin buradayim.
Greeting,Selamlar. (56),Selam! Diyabet hakkinda size nasil yardimci olabilirim?
Greeting,Merhaba! (57),Merhaba! Diyabet ile ilgili ne ogrenmek istersiniz?
Greeting,Selamlar. (58),Selam! Diyabet hakkinda size nasil yardimci olabilirim?
Greeting,Selamlar. (59),Selam! Diyabet hakkinda size nasil yardimci olabilirim?
Greeting,Gunaydin. (60),Gunaydin! Diyabet sorulariniz icin buradayim.
Greeting,Selamlar. (61),Selam! Diyabet hakkinda size nasil yardimci olabilirim?
Greeting,Gunaydin. (62),Gunaydin! Diyabet sorulariniz icin buradayim.
Greeting,Merhaba! (63),Merhaba! Diyabet ile ilgili ne ogrenmek istersiniz?
Greeting,Selamlar. (64),Selam! Diyabet hakkinda size nasil yardimci olabilirim?
Greeting,Merhaba! (65),Merhaba! Diyabet ile ilgili ne ogrenmek istersiniz?
Greeting,Merhaba! (66),Merhaba! Diyabet ile ilgili ne ogrenmek istersiniz?
Greeting,Gunaydin. (67),Gunaydin! Diyabet sorulariniz icin buradayim.
Greeting,Merhaba! (68),Merhaba! Diyabet ile ilgili ne ogrenmek istersiniz?
